example_id                                                   | status  | run_time        |
e:/module_5/blog_app/spec/features/user_index_spec.rb[1:1:4] | passed  | 0.86322 seconds |
e:/module_5/blog_app/spec/features/user_show_spec.rb[1:1:1]  | passed  | 7.33 seconds    |
e:/module_5/blog_app/spec/features/user_show_spec.rb[1:1:2]  | passed  | 3.07 seconds    |
e:/module_5/blog_app/spec/features/user_show_spec.rb[1:1:3]  | passed  | 1.44 seconds    |
e:/module_5/blog_app/spec/features/user_show_spec.rb[1:1:4]  | passed  | 1.74 seconds    |
e:/module_5/blog_app/spec/features/user_show_spec.rb[1:1:5]  | passed  | 1.48 seconds    |
e:/module_5/blog_app/spec/features/user_show_spec.rb[1:1:6]  | passed  | 0.74522 seconds |
e:/module_5/blog_app/spec/features/user_show_spec.rb[1:1:7]  | failed  | 2.9 seconds     |
e:/module_5/blog_app/spec/features/user_show_spec.rb[1:1:8]  | passed  | 0.85271 seconds |
e:/module_5/blog_app/spec/models/comment_spec.rb[1:1:1]      | passed  | 0.00476 seconds |
e:/module_5/blog_app/spec/models/comment_spec.rb[1:1:2]      | passed  | 0.00536 seconds |
e:/module_5/blog_app/spec/models/comment_spec.rb[1:2:1]      | passed  | 0.02828 seconds |
e:/module_5/blog_app/spec/models/like_spec.rb[1:1:1]         | passed  | 0.00272 seconds |
e:/module_5/blog_app/spec/models/like_spec.rb[1:1:2]         | passed  | 0.09708 seconds |
e:/module_5/blog_app/spec/models/like_spec.rb[1:2:1]         | passed  | 0.04502 seconds |
e:/module_5/blog_app/spec/models/post_spec.rb[1:1:1]         | passed  | 0.02482 seconds |
e:/module_5/blog_app/spec/models/post_spec.rb[1:1:2]         | passed  | 0.00994 seconds |
e:/module_5/blog_app/spec/models/post_spec.rb[1:1:3]         | passed  | 0.00933 seconds |
e:/module_5/blog_app/spec/models/post_spec.rb[1:2:1]         | passed  | 0.00484 seconds |
e:/module_5/blog_app/spec/models/post_spec.rb[1:2:2]         | passed  | 0.0047 seconds  |
e:/module_5/blog_app/spec/models/post_spec.rb[1:2:3]         | passed  | 0.00624 seconds |
e:/module_5/blog_app/spec/models/post_spec.rb[1:2:4]         | passed  | 0.00866 seconds |
e:/module_5/blog_app/spec/models/post_spec.rb[1:3:1]         | passed  | 0.0751 seconds  |
e:/module_5/blog_app/spec/models/post_spec.rb[1:4:1]         | passed  | 0.12769 seconds |
e:/module_5/blog_app/spec/models/user_spec.rb[1:1:1]         | passed  | 0.00197 seconds |
e:/module_5/blog_app/spec/models/user_spec.rb[1:1:2]         | passed  | 0.00457 seconds |
e:/module_5/blog_app/spec/models/user_spec.rb[1:1:3]         | passed  | 0.00475 seconds |
e:/module_5/blog_app/spec/models/user_spec.rb[1:2:1]         | passed  | 0.01337 seconds |
e:/module_5/blog_app/spec/models/user_spec.rb[1:2:2]         | passed  | 0.01457 seconds |
e:/module_5/blog_app/spec/models/user_spec.rb[1:3:1]         | passed  | 0.04626 seconds |
e:/module_5/blog_app/spec/models/user_spec.rb[1:3:2]         | passed  | 0.03613 seconds |
e:/module_5/blog_app/spec/models/user_spec.rb[1:3:3]         | passed  | 0.01028 seconds |
e:/module_5/blog_app/spec/requests/comments_spec.rb[1:1:1]   | pending | 0.00008 seconds |
e:/module_5/blog_app/spec/requests/likes_spec.rb[1:1:1]      | pending | 0.00002 seconds |
e:/module_5/blog_app/spec/requests/posts_spec.rb[1:1:1]      | passed  | 0.0343 seconds  |
e:/module_5/blog_app/spec/requests/posts_spec.rb[1:1:2]      | passed  | 0.02418 seconds |
e:/module_5/blog_app/spec/requests/posts_spec.rb[1:2:1]      | passed  | 0.09193 seconds |
e:/module_5/blog_app/spec/requests/user_spec.rb[1:1:1]       | passed  | 0.01664 seconds |
e:/module_5/blog_app/spec/requests/user_spec.rb[1:2:1]       | passed  | 0.38982 seconds |
